eName,isPlanet,semimajorAxis,perihelion,aphelion,eccentricity,inclination,density,gravity,escape,meanRadius,equaRadius,polarRadius,flattening,dimension,sideralOrbit,sideralRotation,discoveryDate,mass_kg,volume,orbit_type,orbits,bondAlbido,geomAlbido,RV_abs,p_transit,transit_visibility,transit_depth,massj,semimajorAxis_AU,grav_int
Cyllene,FALSE,23787000,0,0,0.319,149.3,1,0,0,1,0,0,0,NA,737.8,0,2003,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.029274099297936,5.26933787362845,2.06231413757163E-12,7.89473684210526E-15,0.1590062738774,3520879749594.61
Kore,FALSE,24486000,0,0,0.325,145,1,0,0,1,0,0,0,NA,779.2,0,2003,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.02843841378747,5.11891448174467,2.06231413757163E-12,7.89473684210526E-15,0.163678800275865,3322728430568.26
Herse,FALSE,23405000,0,0,0.2,164.2,1,0,0,2,0,0,0,NA,717.3,0,2003,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.029751933347575,5.35534800256356,8.24925655028653E-12,7.89473684210526E-15,0.156452761596693,3636748319772.2
S/2003 J 2,FALSE,28332000,0,0,0.38,151.8,1,0,0,1,0,0,0,NA,982.5,0,2003,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.024577968374982,4.42403430749682,2.06231413757163E-12,7.89473684210526E-15,0.18938772234811,2481853096248.55
Eupheme,FALSE,20230000,0,0,0.253,148,1,0,0,1,0,0,0,NA,504,0,2003,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.034421304992585,6.19583489866535,2.06231413757163E-12,7.89473684210526E-15,0.135229197483491,4867867765872.89
S/2003 J 4,FALSE,23928000,0,0,0.204,144.9,1,0,0,1,0,0,0,NA,723.2,0,2003,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.029101596456035,5.23828736208626,2.06231413757163E-12,7.89473684210526E-15,0.159948800661639,3479507185883.96
Eirene,FALSE,23493000,0,0,0.22,163.1,1,0,0,2,0,0,0,NA,759.7,0,2003,90000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.029640488656196,5.33528795811518,8.24925655028653E-12,4.73684210526316E-14,0.157041005263453,21657325846980
S/2003 J 9,FALSE,23385000,0,0,0.269,164.5,1,0,0,0.5,0,0,0,NA,683,0,2003,1500000000000,NA,Secondary,Jupiter,NA,NA,NA,0.029777314517853,5.3599166132136,5.15578534392908E-13,7.89473684210526E-16,0.156319069854248,364297163126.695
S/2003 J 10,FALSE,23042000,0,0,0.214,164.1,1,0,0,1,0,0,0,NA,767,0,2003,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.030220597170385,5.43970749066921,2.06231413757163E-12,7.89473684210526E-15,0.15402625647131,3752236408909.19
S/2003 J 12,FALSE,17835000,0,0,0.376,145.8,1,0,0,0.5,0,0,0,NA,533.3,0,2003,1000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.03904359405663,7.02784693019344,5.15578534392908E-13,5.26315789473684E-16,0.119219611325658,417535158791.743
Philophrosyne,FALSE,22622000,0,0,0.194,143.6,1,0,0,1,0,0,0,NA,668.4,0,2003,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.030781672707983,5.54070108743701,2.06231413757163E-12,7.89473684210526E-15,0.151218729879957,3892857815891.41
S/2003 J 16,FALSE,20948000,0,0,0.23,148.5,1,0,0,1,0,0,0,NA,595.4,0,2003,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.033241502768761,5.98347049837693,2.06231413757163E-12,7.89473684210526E-15,0.140028731037279,4539890806477.56
S/2003 J 18,FALSE,20494000,0,0,0.105,146.4,1,0,0,1,0,0,0,NA,606.3,0,2003,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.033977895969552,6.11602127451937,2.06231413757163E-12,7.89473684210526E-15,0.13699392848377,4743261562372.22
S/2003 J 19,FALSE,23532000,0,0,0.334,162.9,1,0,0,1,0,0,0,NA,701.3,0,2003,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.02959132245453,5.3264380418154,2.06231413757163E-12,7.89473684210526E-15,0.157301704161221,3597599865748.58
S/2003 J 23,FALSE,23549000,0,0,0.309,149.2,1,0.00081,0,1,0,0,0,NA,759.7,0,2003,15000000000000,NA,Secondary,Jupiter,NA,NA,NA,0.029569960507877,5.32259289141789,2.06231413757163E-12,7.89473684210526E-15,0.1574153421423,3592407532967.12
Mimas,FALSE,185539,181770,189270,0.0202,1.53,1.15,0,0,396.4,0,0,0,415x394x381,0.94,22.56,17/09/1789,3.79E+019,NA,Secondary,Saturn,NA,NA,NA,3.75521265070955,675.93827712772,3.24057524886478E-07,1.99473684210526E-08,0.001240251610079,1.46220432985923E+023
Enceladus,FALSE,238037,236830,239066,0.0045,0,1.61,0,0,504.2,0,0,0,NA,1.37,32.88,28/08/1789,1.08E+020,NA,Secondary,Saturn,NA,NA,NA,2.92747009918626,526.944617853527,5.24276632992096E-07,5.68421052631579E-08,0.001591179064823,2.53147765253144E+023
Tethys,FALSE,294672,294589,294648,0,1.86,0.985,0,0,1066,0,0,0,NA,1.89,45.312,21/03/1684,6.18E+020,NA,Secondary,Saturn,NA,NA,NA,2.36672639409241,426.010750936635,2.34352304411435E-06,3.25263157894737E-07,0.001969760656493,9.45257239718189E+023
Dione,FALSE,377415,376580,378260,0.0022,0.02,1.48,0,0,1123.4,0,0,0,NA,2.74,0,21/03/1684,1.1E+021,NA,Secondary,Saturn,NA,NA,NA,1.84800657101599,332.641182782878,2.60269727899303E-06,5.78947368421053E-07,0.002522863448751,1.02563693058932E+024
Rhea,FALSE,527068,526543,527597,0.001,0.35,1.24,0,0,1528.6,0,0,0,NA,4.518,108.432,23/12/1672,2.3E+021,NA,Secondary,Saturn,NA,NA,NA,1.32406179088846,238.331122359923,4.81884025301179E-06,1.21052631578947E-06,0.00352323196536,1.09959768173441E+024
